,id,submitdate,lastpage,startlanguage,seed,age,sex,degree,d2[other],job,d5[other],risk_aver,best_intention,reciproc1,reciproc2_neg,fox,wsj,wp,cnn,abc,reuters,econ,nyt,time,forbes,none,d6[other],ladder_me,ladder_repub,ladder_demo,ladder_indep,pol_views,pol_party,d11[other],chatgpt_pol,bert_pol,llama_pol,chatgpt_know,chatgpt_use,chatgpt_perc_acc,llama_know,llama_use,llama_perc_acc,bert_know,bert_use,bert_perc_acc,openai_pol,meta_pol,twitter_pol,apple_pol,exxon_pol,chatgpt_att1,chatgpt_att2,chatgpt_att3,chatgpt_att4,chatgpt_att5,chatgpt_att6,bert_att1,bert_att2,bert_att3,bert_att4,bert_att5,bert_att6,llama_att1,llama_att2,llama_att3,llama_att4,llama_att5,llama_att6,p1id,reciproc2,reciproc,chatgpt_att_avg,llama_att_avg,chatgpt_pol_dis,openai_pol_dis,bert_pol_dis,llama_pol_dis,meta_pol_dis,job_int,deg_int
0,1,1980-01-01 00:00:00,5.0,en,1384669501,23.0,0,Graduate (University),,Self-employed,,7.0,6.0,7.0,3.0,0,0,0,0,0,0,0,1,0,0,0,0,9.0,8.0,8.0,6.0,5.0,-1,,5.0,5.0,5.0,1,1,0.6,0,0,0.4,1,0,0.8,6.0,6.0,6.0,5.0,1.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,3.0,3.0,3.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,x,8.0,7.5,4.333333333333333,3.0,0.0,1.0,0.0,0.0,1.0,0,0
1,2,1980-01-01 00:00:00,5.0,en,1823803087,23.0,0,Undergraduate (University),,Student,,7.0,3.0,4.0,4.0,0,0,0,0,0,0,0,1,0,0,0,0,6.0,7.0,5.0,6.0,5.0,-1,,5.0,5.0,5.0,1,1,0.6,0,0,0.4,0,0,0.4,5.0,5.0,4.0,4.0,3.0,2.0,3.0,3.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,61117b4c38d1dddbae6511da,7.0,5.5,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1,1
2,3,1980-01-01 00:00:00,5.0,en,1319493814,57.0,0,Elementary/high school diploma,,Employed part-time,,3.0,5.0,10.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,5.0,5.0,5.0,5.0,6.0,0,,5.0,5.0,5.0,0,0,0.6,0,0,0.6,0,0,0.6,4.0,3.0,6.0,5.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,5bd893be30bfa90001efc6ce,10.0,10.0,2.5,2.3333333333333335,1.0,2.0,1.0,1.0,3.0,2,2
3,4,1980-01-01 00:00:00,5.0,en,108675285,48.0,0,Undergraduate (University),,Employed full-time,,9.0,9.0,10.0,8.0,0,1,0,0,0,0,1,0,0,0,0,0,5.0,2.0,7.0,4.0,5.0,-1,,4.0,2.0,4.0,1,1,0.8,0,0,0.6,0,0,0.6,6.0,6.0,3.0,6.0,2.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,64447e9e30d89db5da840b90,3.0,6.5,3.3333333333333335,3.0,1.0,1.0,3.0,1.0,1.0,3,1
4,5,1980-01-01 00:00:00,5.0,en,1099057495,30.0,1,Undergraduate (University),,Employed full-time,,3.0,8.0,9.0,1.0,0,0,0,1,0,1,0,1,0,0,0,0,6.0,5.0,5.0,5.0,6.0,-1,,5.0,5.0,5.0,1,1,0.8,0,0,0.6,0,0,0.6,5.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,542473a4fdf99b691fb38455,10.0,9.5,4.0,3.0,1.0,1.0,1.0,1.0,1.0,3,1
5,6,1980-01-01 00:00:00,5.0,en,262175485,30.0,1,Graduate (University),,Employed full-time,,6.0,7.0,9.0,7.0,0,0,0,0,0,0,0,0,0,0,1,0,4.0,7.0,5.0,6.0,4.0,-1,,4.0,4.0,4.0,1,1,0.8,0,0,0.6,0,0,0.6,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,60fd866917347300b1470b1b,4.0,6.5,5.0,3.0,0.0,0.0,0.0,0.0,0.0,3,0
6,7,1980-01-01 00:00:00,5.0,en,1049438435,39.0,0,Graduate (University),,Employed full-time,,2.0,9.0,10.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,4.0,6.0,5.0,4.0,6.0,0,,4.0,4.0,4.0,1,0,0.6,0,0,0.6,0,0,0.6,4.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,60a56378aa5f55ddac516adc,10.0,10.0,1.8333333333333333,3.0,2.0,2.0,2.0,2.0,2.0,3,0
7,8,1980-01-01 00:00:00,5.0,en,1496200958,63.0,0,Graduate (University),,Retired,,3.0,5.0,10.0,6.0,0,0,0,0,0,0,0,0,0,0,1,0,7.0,5.0,4.0,5.0,2.0,1,,5.0,5.0,5.0,1,0,0.6,0,0,0.6,1,0,0.6,5.0,7.0,5.0,7.0,4.0,3.0,3.0,3.0,5.0,2.0,4.0,2.0,2.0,3.0,4.0,1.0,3.0,4.0,4.0,4.0,5.0,1.0,3.0,60c3d124a3f6a934bbbb3292,5.0,7.5,3.3333333333333335,3.5,3.0,3.0,3.0,3.0,5.0,4,0
8,9,1980-01-01 00:00:00,5.0,en,156814036,34.0,1,Graduate (University),,Homemaker,,3.0,5.0,8.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,3.0,5.0,5.0,5.0,4.0,1,,4.0,4.0,4.0,0,0,0.6,0,0,0.6,0,0,0.6,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,63bb56dd556ae9e3ef1d673e,10.0,9.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,5,0
9,10,1980-01-01 00:00:00,5.0,en,741016249,28.0,0,Undergraduate (University),,Self-employed,,8.0,5.0,7.0,6.0,0,0,0,0,0,1,0,1,0,0,0,0,5.0,5.0,5.0,5.0,6.0,-1,,4.0,4.0,5.0,1,1,0.8,0,0,0.6,0,0,0.6,5.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,60fcbf0aca44c1b1c5631970,5.0,6.0,3.0,2.0,2.0,1.0,2.0,1.0,3.0,0,1
